Config,Activation,Model,accuracy,f1_score,precision,recall,roc_auc,training_time
"[16, 32, 64]_[1, 1, 1]_relu",relu,CNN + Softmax,0.8273684210526315,0.8246989946154141,0.8325657818072403,0.8273684210526315,0.9631766179243963,13.632724046707153
"[16, 32, 64]_[1, 1, 1]_relu",relu,CNN + SVM,0.8631578947368421,0.8596959577726946,0.8616644731898891,0.8631578947368421,0.9631766179243963,16.586190938949585
"[16, 32, 64]_[1, 1, 1]_relu",relu,CNN + XGBoost,0.8126315789473684,0.8037317275994224,0.8060043364102092,0.8126315789473684,0.9631766179243963,14.011240005493164
"[16, 32, 64]_[1, 1, 1]_leaky_relu",leaky_relu,CNN + Softmax,0.8305263157894737,0.8333869223982749,0.8413670679796839,0.8305263157894737,0.964642741710736,12.757101774215698
"[16, 32, 64]_[1, 1, 1]_leaky_relu",leaky_relu,CNN + SVM,0.868421052631579,0.862926616372312,0.862485054175202,0.868421052631579,0.964642741710736,15.167264699935913
"[16, 32, 64]_[1, 1, 1]_leaky_relu",leaky_relu,CNN + XGBoost,0.8115789473684211,0.8051874096698343,0.8048794600981278,0.8115789473684211,0.964642741710736,12.850556135177612
"[16, 32, 64]_[1, 1, 1]_elu",elu,CNN + Softmax,0.8063157894736842,0.8083296462270165,0.8128473563759318,0.8063157894736842,0.9612195603122639,15.576958894729614
"[16, 32, 64]_[1, 1, 1]_elu",elu,CNN + SVM,0.86,0.8562031351350612,0.8560608286604637,0.86,0.9612195603122639,15.088164567947388
"[16, 32, 64]_[1, 1, 1]_elu",elu,CNN + XGBoost,0.8021052631578948,0.7932376633290574,0.7982940328736815,0.8021052631578948,0.9612195603122639,12.725480079650879
"[16, 32, 64]_[2, 1, 1]_relu",relu,CNN + Softmax,0.7568421052631579,0.7618237701094456,0.7729887754721213,0.7568421052631579,0.947995211673522,14.269946813583374
"[16, 32, 64]_[2, 1, 1]_relu",relu,CNN + SVM,0.8094736842105263,0.8011355419493261,0.7997071551486545,0.8094736842105263,0.947995211673522,15.010216236114502
"[16, 32, 64]_[2, 1, 1]_relu",relu,CNN + XGBoost,0.7547368421052632,0.7473576714077161,0.7479490898374038,0.7547368421052632,0.947995211673522,13.785320520401001
"[16, 32, 64]_[2, 1, 1]_leaky_relu",leaky_relu,CNN + Softmax,0.7473684210526316,0.7503408624380619,0.7595864978730703,0.7473684210526316,0.9494694016060887,14.123015403747559
"[16, 32, 64]_[2, 1, 1]_leaky_relu",leaky_relu,CNN + SVM,0.8147368421052632,0.8114836489500068,0.8137081173005742,0.8147368421052632,0.9494694016060887,15.351954698562622
"[16, 32, 64]_[2, 1, 1]_leaky_relu",leaky_relu,CNN + XGBoost,0.783157894736842,0.7778080936615959,0.780116497110536,0.783157894736842,0.9494694016060887,16.450618028640747
"[16, 32, 64]_[2, 1, 1]_elu",elu,CNN + Softmax,0.7294736842105263,0.7357089039143364,0.7471748747445184,0.7294736842105263,0.9357216447578275,12.944589138031006
